"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens"
"259","0.1","0.01","1","2","7.4","100","1e+06","400","20","8000","4e+04","0.2"
"260","0.2","0.01","1","2","11.3","100","1e+06","400","20","8000","4e+04","0.2"
"261","0.3","0.01","2","2","10.1","100","1e+06","400","20","8000","4e+04","0.2"
"262","0.1","0.01","1","2","9","100","1e+06","400","20","8000","4e+04","0.2"
"263","0.2","0.01","1","2","8.5","100","1e+06","400","20","8000","4e+04","0.2"
"264","0.3","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"265","0.1","0.01","1","2","6.2","100","1e+06","400","20","8000","4e+04","0.2"
"266","0.2","0.01","1","2","7.7","100","1e+06","400","20","8000","4e+04","0.2"
"267","0.3","0.01","1","2","7.9","100","1e+06","400","20","8000","4e+04","0.2"
"268","0.1","0.01","1","2","9","100","1e+06","400","20","8000","4e+04","0.2"
"269","0.2","0.01","1","2","9.8","100","1e+06","400","20","8000","4e+04","0.2"
"270","0.3","0.01","1","2","8.5","100","1e+06","400","20","8000","4e+04","0.2"
"271","0.1","0.01","1","2","9.3","100","1e+06","400","20","8000","4e+04","0.2"
"272","0.2","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"273","0.3","0.01","1","2","9.3","100","1e+06","400","20","8000","4e+04","0.2"
"274","0.1","0.01","1","2","10","100","1e+06","400","20","8000","4e+04","0.2"
"275","0.2","0.01","1","2","12.1","100","1e+06","400","20","8000","4e+04","0.2"
"276","0.3","0.01","1","2","9.3","100","1e+06","400","20","8000","4e+04","0.2"
"277","0.1","0.01","1","2","9.9","100","1e+06","400","20","8000","4e+04","0.2"
"278","0.2","0.01","1","2","12.9","100","1e+06","400","20","8000","4e+04","0.2"
"279","0.3","0.01","1","2","9","100","1e+06","400","20","8000","4e+04","0.2"
"280","0.1","0.01","1","2","8","100","1e+06","400","20","8000","4e+04","0.2"
"281","0.2","0.01","1","2","9.6","100","1e+06","400","20","8000","4e+04","0.2"
"282","0.3","0.01","1","2","8","100","1e+06","400","20","8000","4e+04","0.2"
