"","log.scholarRefs.","log.Nm.","log.mass.","log.distrSize.","rand","AIC","boot","lambda","attempt","predictors","dAIC","weight"
"119",FALSE,TRUE,TRUE,TRUE,FALSE,115.739742810343,4,-4.13967574993174,1,"log(Nm) + log(mass) + log(distrSize)",62.5576556970867,2.60479561186924e-14
"120",FALSE,TRUE,TRUE,FALSE,TRUE,150.98169059752,4,NA,5,"log(Nm) + log(mass) + rand",97.7996034842638,5.79538008196775e-22
"121",FALSE,TRUE,FALSE,TRUE,TRUE,146.202069555954,4,0.0835721658755786,1,"log(Nm) + log(distrSize) + rand",93.0199824426975,6.32358624052649e-21
"122",FALSE,FALSE,TRUE,TRUE,TRUE,106.130733618565,4,-6.60770036183204,4,"log(mass) + log(distrSize) + rand",52.9486465053082,3.17938767141935e-12
"123",TRUE,TRUE,TRUE,TRUE,FALSE,141.05898866598,4,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize)",87.8769015527235,8.2750241719302e-20
"124",TRUE,TRUE,TRUE,FALSE,TRUE,53.1820871132565,4,-10.1029091531364,2,"log(scholarRefs) + log(Nm) + log(mass) + rand",0,0.999990758861579
"125",TRUE,TRUE,FALSE,TRUE,TRUE,143.69307792686,4,0.199666451176642,1,"log(scholarRefs) + log(Nm) + log(distrSize) + rand",90.5109908136036,2.2170937395436e-20
"126",TRUE,FALSE,TRUE,TRUE,TRUE,88.3320829157503,4,-4.95924820551884,1,"log(scholarRefs) + log(mass) + log(distrSize) + rand",35.1499958024937,2.32954647224063e-08
"127",FALSE,TRUE,TRUE,TRUE,TRUE,145.276303773716,4,NA,5,"log(Nm) + log(mass) + log(distrSize) + rand",92.0942166604595,1.00459481239584e-20
"128",TRUE,TRUE,TRUE,TRUE,TRUE,144.447797525394,4,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize) + rand",91.265710412137,1.52019317048872e-20
"129",FALSE,FALSE,FALSE,FALSE,FALSE,118.431463660977,5,-0.221352153220703,2,"1",64.51893357279,7.70434703180991e-15
"130",TRUE,FALSE,FALSE,FALSE,FALSE,136.044595357054,5,0.150804971873433,1,"log(scholarRefs)",82.1320652688673,1.15369997824069e-18
"131",FALSE,TRUE,FALSE,FALSE,FALSE,125.77812921828,5,-0.221352153206642,1,"log(Nm)",71.8655991300927,1.9562649813789e-16
"132",FALSE,FALSE,TRUE,FALSE,FALSE,136.969888150223,5,-0.962525436160505,1,"log(mass)",83.0573580620365,7.26387073973085e-19
"133",FALSE,FALSE,FALSE,TRUE,FALSE,142.124128998979,5,0.0812862580547989,1,"log(distrSize)",88.2115989107924,5.51999809464651e-20
"134",FALSE,FALSE,FALSE,FALSE,TRUE,132.387562455392,5,-0.221494850601381,2,"rand",78.4750323672053,7.18137307551979e-18
