"","binomial","virusSpecies","NumberOfSubspecies","Genus","Family","familyPlotCol","mass","distrSize","pubmedRefs","scholarRefs","SubspeciesFactor"
"Philetor brachypterus","Philetor brachypterus",1,1,"Philetor","Vespertilionidae","Vespertilionidae",12,1317147161561.19,0,84,"1"
"Phyllostomus discolor","Phyllostomus discolor",2,2,"Phyllostomus","Phyllostomidae","Phyllostomidae",36.7,12498386824437.8,54,1610,"2"
"Phyllostomus hastatus","Phyllostomus hastatus",13,2,"Phyllostomus","Phyllostomidae","Phyllostomidae",91.44,12629828573855.7,38,2380,"2"
"Pipistrellus abramus","Pipistrellus abramus",3,1,"Pipistrellus","Vespertilionidae","Vespertilionidae",5.87,3842252427964.44,22,859,"1"
"Pipistrellus ceylonicus","Pipistrellus ceylonicus",1,7,"Pipistrellus","Vespertilionidae","Vespertilionidae",8.05,2290092648156.77,0,175,"7"
"Pipistrellus hesperus","Pipistrellus hesperus",1,2,"Pipistrellus","Vespertilionidae","Vespertilionidae",3.56,2655906165458.13,0,950,"2"
"Pipistrellus kuhlii","Pipistrellus kuhlii",1,3,"Pipistrellus","Vespertilionidae","Vespertilionidae",6.07,10723117957820.5,12,1360,"3"
"Pipistrellus nathusii","Pipistrellus nathusii",3,1,"Pipistrellus","Vespertilionidae","Vespertilionidae",7.44,5886193431275.45,11,2250,"1"
"Pipistrellus pipistrellus","Pipistrellus pipistrellus",6,2,"Pipistrellus","Vespertilionidae","Vespertilionidae",5.3,11497401460264.1,83,6420,"2"
"Pipistrellus pygmaeus","Pipistrellus pygmaeus",1,1,"Pipistrellus","Vespertilionidae","Vespertilionidae",5.3,1954261535425.74,12,1880,"1"
"Pipistrellus subflavus","Pipistrellus subflavus",1,4,"Pipistrellus","Vespertilionidae","Vespertilionidae",5.74,4264005661426.84,0,1680,"4"
"Platyrrhinus helleri","Platyrrhinus helleri",4,2,"Platyrrhinus","Phyllostomidae","Phyllostomidae",13.44,11318768867431.2,2,523,"2"
"Platyrrhinus lineatus","Platyrrhinus lineatus",1,2,"Platyrrhinus","Phyllostomidae","Phyllostomidae",24.34,5807570762889.54,12,685,"2"
"Plecotus auritus","Plecotus auritus",3,5,"Plecotus","Vespertilionidae","Vespertilionidae",8.19,6533487936072.5,34,5430,"5"
"Pteronotus davyi","Pteronotus davyi",5,3,"Pteronotus","Mormoopidae","Other",9.52,3471859789804.99,2,680,"3"
"Pteronotus parnellii","Pteronotus parnellii",7,9,"Pteronotus","Mormoopidae","Other",19.59,8592984444255.2,128,2400,"9"
"Pteropus admiralitatum","Pteropus admiralitatum",1,4,"Pteropus","Pteropodidae","Pteropodidae",306.46,75834563672.8656,0,39,"4"
"Pteropus alecto","Pteropus alecto",6,4,"Pteropus","Pteropodidae","Pteropodidae",610.13,1354205677842.73,49,1530,"4"
"Pteropus conspicillatus","Pteropus conspicillatus",2,2,"Pteropus","Pteropodidae","Pteropodidae",760.71,219525839982.681,15,465,"2"
"Pteropus dasymallus","Pteropus dasymallus",1,5,"Pteropus","Pteropodidae","Pteropodidae",491.86,38775129998.1739,3,350,"5"
"Pteropus giganteus","Pteropus giganteus",2,4,"Pteropus","Pteropodidae","Pteropodidae",824.85,4003761099215.56,49,1510,"4"
"Pteropus hypomelanus","Pteropus hypomelanus",4,16,"Pteropus","Pteropodidae","Pteropodidae",435.61,524209429945.285,28,591,"16"
"Pteropus lylei","Pteropus lylei",5,1,"Pteropus","Pteropodidae","Pteropodidae",319.75,106826974665.394,9,346,"1"
"Pteropus neohibernicus","Pteropus neohibernicus",1,2,"Pteropus","Pteropodidae","Pteropodidae",1017.37,672546212681.12,0,85,"2"
"Pteropus poliocephalus","Pteropus poliocephalus",3,1,"Pteropus","Pteropodidae","Pteropodidae",702.78,249322563933.764,54,1950,"1"
"Pteropus rufus","Pteropus rufus",2,1,"Pteropus","Pteropodidae","Pteropodidae",792,185368314810.851,9,310,"1"
"Pteropus scapulatus","Pteropus scapulatus",7,1,"Pteropus","Pteropodidae","Pteropodidae",380.35,3038107838414.05,19,707,"1"
"Pteropus vampyrus","Pteropus vampyrus",1,6,"Pteropus","Pteropodidae","Pteropodidae",1027.54,1940626001977.98,40,1340,"6"
"Rhinolophus affinis","Rhinolophus affinis",1,9,"Rhinolophus","Rhinolophidae","Rhinolophidae",13.7,5505761924392.67,8,457,"9"
"Rhinolophus blasii","Rhinolophus blasii",2,4,"Rhinolophus","Rhinolophidae","Rhinolophidae",10.29,3410278064996.81,3,469,"4"
