,virus.family,virus.genus,virus.species,host.genus,host.species,binomial,inTaxonomy,Species Count,Keep,binomial
185,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Lonchophylla,robusta,Lonchophylla robusta,TRUE,1,,Lonchophylla robusta
186,Herpesviridae,unassigned,Parixa virus,Lonchophylla,thomasi,Lonchophylla thomasi,FALSE,1,,Lonchophylla thomasi
187,Rhabdoviridae,Lyssavirus,Rabies virus,Lonchorhina,aurita,Lonchorhina aurita,TRUE,1,,Lonchorhina aurita
188,Rhabdoviridae,Lyssavirus,Rabies virus,Lophostoma,brasiliense,Lophostoma brasiliense,TRUE,1,,Lophostoma brasiliense
189,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis Indiana virus,Lophostoma,silvicolum,Lophostoma silvicolum,TRUE,,,Lophostoma silvicolum
190,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Lophostoma,silvicolum,Lophostoma silvicolum,TRUE,2,,Lophostoma silvicolum
191,Flaviviridae,Flavivirus,Carey Island virus,Macroglossus,minimus,Macroglossus minimus,TRUE,1,,Macroglossus minimus
192,Rhabdoviridae,Lyssavirus,Rabies virus,Macrotus,californicus,Macrotus californicus,TRUE,1,,Macrotus californicus
193,Astroviridae,unassigned,bat astroviruses,Megaderma,lyra,Megaderma lyra,FALSE,,,Megaderma lyra
194,Orthomyxiviridae,Influenzavirus A,Influenzavirus A virus,Megaderma,lyra,Megaderma lyra,FALSE,2,,Megaderma lyra
195,Rhabdoviridae,Lyssavirus,Rabies virus,Micronycteris,megalotis,Micronycteris megalotis,TRUE,1,,Micronycteris megalotis
196,Filoviridae,Ebolavirus,Ebola-Zaire virus,Micropteropus,pusillus,Micropteropus pusillus,FALSE,,,Micropteropus pusillus
197,Rhabdoviridae,Lyssavirus,Lagos bat virus,Micropteropus,pusillus,Micropteropus pusillus,TRUE,,,Micropteropus pusillus
198,Bunyaviridae,Phlebovirus,Rift Valley fever virus,Micropteropus,pusillus,Micropteropus pusillus,TRUE,3,,Micropteropus pusillus
199,Flaviviridae,Flavivirus,Tamana bat virus,Mimon,crenulatum,Mimon crenulatum,FALSE,1,,Mimon crenulatum
200,Filoviridae,Marburgvirus,Lake Victoria marburg virus,Miniopterus,inflatus,Miniopterus inflatus,FALSE,1,,Miniopterus inflatus
201,Astroviridae,unassigned,bat astrovirus AFCD337,Miniopterus,magnater,Miniopterus magnater,FALSE,,,Miniopterus magnater
