"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"204",0.6,1e-03,2,70.5333333333333,21.0666666666667,10,2,9,100,8e+05
"205",0.1,1e-03,1,143.9,0,10,2,9,100,8e+05
"206",0.2,1e-03,2,135.6,3.93333333333333,10,2,9,100,8e+05
"207",0.4,1e-03,2,61.0333333333333,20.1666666666667,10,2,9,100,8e+05
"208",0.6,1e-03,2,103.366666666667,10.2333333333333,10,2,9,100,8e+05
"209",0.1,1e-03,1,137.5,0,10,2,9,100,8e+05
"210",0.2,1e-03,2,134.366666666667,1.8,10,2,9,100,8e+05
"211",0.4,1e-03,2,114.266666666667,6.73333333333333,10,2,9,100,8e+05
"212",0.6,1e-03,2,39.4,26.3333333333333,10,2,9,100,8e+05
"213",0.1,1e-03,1,143.033333333333,0,10,2,9,100,8e+05
"214",0.2,1e-03,1,140.033333333333,0,10,2,9,100,8e+05
"215",0.4,1e-03,2,83,15.7666666666667,10,2,9,100,8e+05
"216",0.6,1e-03,2,77.2666666666667,18.0333333333333,10,2,9,100,8e+05
"217",0.1,1e-03,1,135.133333333333,0,10,2,9,100,8e+05
"218",0.2,1e-03,1,150.733333333333,0,10,2,9,100,8e+05
"219",0.4,1e-03,2,49.5333333333333,25.4666666666667,10,2,9,100,8e+05
"220",0.6,1e-03,2,103.233333333333,11,10,2,9,100,8e+05
"221",0.1,1e-03,1,147.033333333333,0,10,2,9,100,8e+05
"222",0.2,1e-03,1,136.6,0,10,2,9,100,8e+05
"223",0.4,1e-03,2,110,6.43333333333333,10,2,9,100,8e+05
"224",0.6,1e-03,2,122.533333333333,4.9,10,2,9,100,8e+05
"225",0.1,1e-03,1,142.933333333333,0,10,2,9,100,8e+05
"226",0.2,1e-03,1,144.666666666667,0,10,2,9,100,8e+05
"227",0.4,1e-03,1,153.6,0,10,2,9,100,8e+05
"228",0.6,1e-03,2,87,13,10,2,9,100,8e+05
"229",0.1,1e-03,1,142.166666666667,0,10,2,9,100,8e+05
"230",0.2,1e-03,1,143.3,0,10,2,9,100,8e+05
"231",0.4,1e-03,2,64.7,21.5333333333333,10,2,9,100,8e+05
"232",0.6,1e-03,2,91.9333333333333,14.9666666666667,10,2,9,100,8e+05
