"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
2,0.01,144.7,0,1,10,40,2,2,5e+05,"150405_0307.RData"
5,0.01,7.27272727272727,35.5818181818182,2,10,100,9,2,5e+05,"150405_0308.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0309.RData"
2,0.01,141.336363636364,0,1,10,100,9,2,5e+05,"150405_0310.RData"
5,0.01,137.136363636364,0,1,10,40,2,2,5e+05,"150405_0311.RData"
10,0.01,0,0,0,10,100,9,2,5e+05,"150405_0312.RData"
2,0.01,135.663636363636,0,1,10,40,2,2,5e+05,"150405_0313.RData"
5,0.01,144.190909090909,0,1,10,100,9,2,5e+05,"150405_0314.RData"
10,0.01,149.163636363636,0,1,10,40,2,2,5e+05,"150405_0315.RData"
2,0.01,142.190909090909,0,1,10,100,9,2,5e+05,"150405_0316.RData"
5,0.01,148.054545454545,0,1,10,40,2,2,5e+05,"150405_0317.RData"
10,0.01,4.24545454545455,35.1545454545455,2,10,100,9,2,5e+05,"150405_0318.RData"
2,0.01,138.836363636364,0,1,10,40,2,2,5e+05,"150405_0319.RData"
5,0.01,139.245454545455,0,1,10,100,9,2,5e+05,"150405_0320.RData"
10,0.01,3.9,34.6818181818182,2,10,40,2,2,5e+05,"150405_0321.RData"
2,0.01,140.036363636364,0,1,10,100,9,2,5e+05,"150405_0322.RData"
5,0.01,7.47272727272727,33.5818181818182,2,10,40,2,2,5e+05,"150405_0323.RData"
10,0.01,142.463636363636,0,1,10,100,9,2,5e+05,"150405_0324.RData"
2,0.01,142.727272727273,0,1,10,40,2,2,5e+05,"150405_0325.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0326.RData"
10,0.01,134.818181818182,0,1,10,40,2,2,5e+05,"150405_0327.RData"
2,0.01,147.872727272727,0,1,10,100,9,2,5e+05,"150405_0328.RData"
5,0.01,7.53636363636364,34.6727272727273,2,10,40,2,2,5e+05,"150405_0329.RData"
10,0.01,144.754545454545,0,1,10,100,9,2,5e+05,"150405_0330.RData"
2,0.01,143.436363636364,0,1,10,40,2,2,5e+05,"150405_0331.RData"
