"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents","path2","extinctionTime","totalTime","survivalTime"
"139",0.3,0,1,56.1666666666667,0,2,2,1,120,8e+05,0,970.777278165905,1382.48649212537,478.866445512582
"140",0.4,0,2,29.3333333333333,15.3333333333333,2,2,1,120,8e+05,57,NA,956.10375330856,NA
"141",0.1,0,1,85.3333333333333,0,2,2,1,120,8e+05,172,NA,1138.81040707176,NA
"142",0.2,0,1,86.5,0,2,2,1,120,8e+05,179,NA,1227.97483723052,NA
"143",0.3,0,1,68.3333333333333,0,2,2,1,120,8e+05,144,NA,1288.854188138,NA
"144",0.4,0,2,29.5,20,2,2,1,120,8e+05,55,NA,1097.57243367276,NA
"145",0.1,0,1,67.3333333333333,0,2,2,1,120,8e+05,129,NA,1346.10410376009,NA
"146",0.2,0,1,73.6666666666667,0,2,2,1,120,8e+05,156,NA,1319.86623514386,NA
"147",0.3,0,1,74.6666666666667,0,2,2,1,120,8e+05,153,NA,1284.15993147378,NA
"148",0.4,0,2,27.1666666666667,12.8333333333333,2,2,1,120,8e+05,51,NA,1041.56434691634,NA
"149",0.1,0,1,70.8333333333333,0,2,2,1,120,8e+05,146,NA,1214.70990716376,NA
"150",0.2,0,1,65.1666666666667,0,2,2,1,120,8e+05,125,NA,1524.69207587518,NA
"151",0.3,0,1,53.5,0,2,2,1,120,8e+05,0,814.957611711111,1372.36448083986,340.438889835015
"152",0.4,0,1,47.6666666666667,0,2,2,1,120,8e+05,0,765.389182467021,1804.41214079121,151.304812640248
"153",0.1,0,1,67.3333333333333,0,2,2,1,120,8e+05,125,NA,1438.36748263805,NA
"154",0.2,0,1,82.1666666666667,0,2,2,1,120,8e+05,154,NA,1141.14221835293,NA
"155",0.3,0,1,74,0,2,2,1,120,8e+05,169,NA,1410.52601870697,NA
"156",0.4,0,2,30.8333333333333,15.5,2,2,1,120,8e+05,60,NA,995.66931279491,NA
"157",0.1,0,1,75,0,2,2,1,120,8e+05,136,NA,1412.10063850664,NA
"158",0.2,0,1,85.8333333333333,0,2,2,1,120,8e+05,166,NA,1254.57888353291,NA
"159",0.3,0,1,62.6666666666667,0,2,2,1,120,8e+05,0,860.875028380665,1358.23432553986,345.63283169457
"160",0.4,0,2,27,8.83333333333333,2,2,1,120,8e+05,53,NA,1253.65964984461,NA
"161",0.1,0,1,42.3333333333333,0,2,2,1,120,8e+05,84,NA,1864.44650701072,NA
"162",0.2,0,2,40,12.5,2,2,1,120,8e+05,84,NA,1143.48364754089,NA
"163",0.3,0,2,30,14.1666666666667,2,2,1,120,8e+05,60,NA,1064.9111135775,NA
"164",0.4,0,2,31,22.1666666666667,2,2,1,120,8e+05,54,NA,998.058885334218,NA
"165",0.1,0,1,38.3333333333333,0,2,2,1,120,8e+05,80,NA,1818.5042740527,NA
"166",0.2,0,1,83.6666666666667,0,2,2,1,120,8e+05,154,NA,1239.13786849764,NA
"167",0.3,0,2,33.1666666666667,16.5,2,2,1,120,8e+05,46,NA,1044.12591609571,NA
"168",0.4,0,2,27.6666666666667,13,2,2,1,120,8e+05,26,NA,1118.19476950475,NA
"169",0.1,0,1,74,0,2,2,1,120,8e+05,163,NA,1350.062470786,NA
"170",0.2,0,1,36.8333333333333,0,2,2,1,120,8e+05,0,594.424153826158,1696.32124372265,92.2582600133285
"171",0.3,0,1,62,0,2,2,1,120,8e+05,0,832.337709023658,1251.43537531791,362.242001430621
"172",0.4,0,2,28.5,17.1666666666667,2,2,1,120,8e+05,62,NA,1065.51250185507,NA
"173",0.1,0,1,69.1666666666667,0,2,2,1,120,8e+05,152,NA,1384.78924079567,NA
"174",0.2,0,1,77.1666666666667,0,2,2,1,120,8e+05,150,NA,1360.02874522793,NA
"175",0.3,0,2,32,14,2,2,1,120,8e+05,50,NA,1260.37685501269,NA
"176",0.4,0,2,33.3333333333333,13.5,2,2,1,120,8e+05,54,NA,1074.67791108757,NA
"177",0.1,0,1,56.1666666666667,0,2,2,1,120,8e+05,109,NA,1671.73005808505,NA
"178",0.2,0,1,62.1666666666667,0,2,2,1,120,8e+05,134,NA,1418.98846519065,NA
"179",0.3,0,1,52.6666666666667,0,2,2,1,120,8e+05,95,NA,1645.99279224641,NA
"180",0.4,0,2,24.8333333333333,8.33333333333333,2,2,1,120,8e+05,33,NA,1262.08493838761,NA
"181",0.1,0,1,101.666666666667,0,2,2,1,120,8e+05,181,NA,1108.39638506065,NA
"182",0.2,0,1,66.6666666666667,0,2,2,1,120,8e+05,138,NA,1276.37708077005,NA
"183",0.3,0,2,34.3333333333333,19.6666666666667,2,2,1,120,8e+05,64,NA,1083.11057995129,NA
"184",0.4,0,2,28.1666666666667,14.3333333333333,2,2,1,120,8e+05,71,NA,1112.81065654884,NA
"185",0.1,0,1,52.6666666666667,0,2,2,1,120,8e+05,100,NA,1739.05460324723,NA
"186",0.2,0,1,77.1666666666667,0,2,2,1,120,8e+05,159,NA,1164.15801169073,NA
"187",0.3,0,2,29.5,11,2,2,1,120,8e+05,45,NA,1253.82721500893,NA
"188",0.4,0,2,23.1666666666667,9.33333333333333,2,2,1,120,8e+05,48,NA,1330.09398957645,NA
"189",0.1,0,1,71.3333333333333,0,2,2,1,120,8e+05,141,NA,1376.99783388306,NA
"190",0.2,0,1,87,0,2,2,1,120,8e+05,167,NA,1187.66194229834,NA
"191",0.3,0,1,47.6666666666667,0,2,2,1,120,8e+05,103,NA,1577.74055737316,NA
"192",0.4,0,2,29,7,2,2,1,120,8e+05,33,NA,1245.36605407029,NA
"193",0.1,0,1,65.6666666666667,0,2,2,1,120,8e+05,117,NA,1362.60907013923,NA
"194",0.2,0,1,76.3333333333333,0,2,2,1,120,8e+05,144,NA,1144.1250152527,NA
"195",0.3,0,2,35,13.1666666666667,2,2,1,120,8e+05,54,NA,1253.75285038256,NA
"196",0.4,0,1,93.3333333333333,0,2,2,1,120,8e+05,191,NA,1281.22340609007,NA
"197",0.1,0,1,70.1666666666667,0,2,2,1,120,8e+05,143,NA,1179.48297089034,NA
"198",0.2,0,1,83.1666666666667,0,2,2,1,120,8e+05,0,534.543838758734,1309.89643946339,55.6574918652395
"199",0.3,0,2,31,18,2,2,1,120,8e+05,62,NA,1076.05639529926,NA
"200",0.4,0,1,41.5,0,2,2,1,120,8e+05,0,590.365309292793,1889.20036040444,29.4346082640561
"201",0.1,0,1,71.1666666666667,0,2,2,1,120,8e+05,138,NA,1249.43689997393,NA
"202",0.2,0,1,57.8333333333333,0,2,2,1,120,8e+05,114,NA,1537.85934282149,NA
"203",0.3,0,1,51.1666666666667,0,2,2,1,120,8e+05,96,NA,1569.17464215689,NA
"204",0.4,0,1,39.3333333333333,0,2,2,1,120,8e+05,88,NA,1532.57066378745,NA
"205",0.1,0,1,76.3333333333333,0,2,2,1,120,8e+05,169,NA,1341.8236060986,NA
"206",0.2,0,1,54,0,2,2,1,120,8e+05,112,NA,1699.09836366389,NA
"207",0.3,0,1,71.1666666666667,0,2,2,1,120,8e+05,146,NA,1383.0830152509,NA
"208",0.4,0,1,45.5,0,2,2,1,120,8e+05,95,NA,1503.66000576179,NA
"209",0.1,0,1,54.5,0,2,2,1,120,8e+05,123,NA,1621.31527798714,NA
"210",0.2,0,1,50.1666666666667,0,2,2,1,120,8e+05,100,NA,1458.94212936069,NA
"211",0.3,0,1,66.8333333333333,0,2,2,1,120,8e+05,126,NA,1430.32177899669,NA
"212",0.4,0,2,26.3333333333333,6.83333333333333,2,2,1,120,8e+05,33,NA,1462.85326016735,NA
"213",0.1,0,1,61,0,2,2,1,120,8e+05,125,NA,1467.88396781437,NA
"214",0.2,0,1,79,0,2,2,1,120,8e+05,157,NA,1129.60395807221,NA
"215",0.3,0,1,67.3333333333333,0,2,2,1,120,8e+05,132,NA,1172.15085059486,NA
"216",0.4,0,2,26,11.5,2,2,1,120,8e+05,45,NA,1270.69288830634,NA
"217",0.1,0,1,66.5,0,2,2,1,120,8e+05,116,NA,1413.5011902594,NA
"218",0.2,0,1,90.5,0,2,2,1,120,8e+05,0,662.203696462076,1169.09061368728,203.742046381986
"219",0.3,0,1,61.5,0,2,2,1,120,8e+05,0,768.142688360794,1482.06240285559,280.731799854807
"220",0.4,0,2,28,16.6666666666667,2,2,1,120,8e+05,46,NA,1167.06899963151,NA
"221",0.1,0,1,58.5,0,2,2,1,120,8e+05,130,NA,1709.69944497816,NA
"222",0.2,0,1,57.8333333333333,0,2,2,1,120,8e+05,123,NA,1582.88144305327,NA
"223",0.3,0,2,32.8333333333333,13.1666666666667,2,2,1,120,8e+05,54,NA,992.597652922616,NA
"224",0.4,0,2,28.5,13.8333333333333,2,2,1,120,8e+05,47,NA,1272.42628178925,NA
"225",0.1,0,1,57,0,2,2,1,120,8e+05,120,NA,1496.82079040828,NA
"226",0.2,0,1,68.5,0,2,2,1,120,8e+05,145,NA,1433.67009705357,NA
"227",0.3,0,2,37.8333333333333,17.1666666666667,2,2,1,120,8e+05,87,NA,958.723071284995,NA
"228",0.4,0,2,27.3333333333333,16.1666666666667,2,2,1,120,8e+05,45,NA,1164.8964496197,NA
"229",0.1,0,1,86.8333333333333,0,2,2,1,120,8e+05,178,NA,1169.50165235889,NA
"230",0.2,0,1,88.8333333333333,0,2,2,1,120,8e+05,0,882.206039289017,1307.49510465047,356.19436875049
"231",0.3,0,2,30.3333333333333,9.33333333333333,2,2,1,120,8e+05,43,NA,1094.29404902078,NA
"232",0.4,0,2,26.5,9.83333333333333,2,2,1,120,8e+05,52,NA,1200.63619467537,NA
"233",0.1,0,1,59.8333333333333,0,2,2,1,120,8e+05,123,NA,1516.73991270829,NA
"234",0.2,0,1,61.5,0,2,2,1,120,8e+05,124,NA,1370.91319148412,NA
"235",0.3,0,2,33.5,12.5,2,2,1,120,8e+05,90,NA,1170.84845328055,NA
"236",0.4,0,2,27.3333333333333,17.5,2,2,1,120,8e+05,80,NA,1094.56313495235,NA
"237",0.1,0,1,57.5,0,2,2,1,120,8e+05,102,NA,1254.71386805048,NA
"238",0.2,0,1,84.3333333333333,0,2,2,1,120,8e+05,0,949.581726403258,1086.69263606449,481.04945031088
"239",0.3,0,1,64.8333333333333,0,2,2,1,120,8e+05,131,NA,1575.5932709992,NA
"240",0.4,0,2,24,9.16666666666667,2,2,1,120,8e+05,38,NA,1297.86363486389,NA
