"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"485",0.1,0.01,1,143.3,0,10,2,2,40,8e+05
"486",0.2,0.01,2,117.866666666667,8.6,10,2,2,40,8e+05
"487",0.4,0.01,2,49.1,26.0666666666667,10,2,2,40,8e+05
"488",0.6,0.01,2,41.3666666666667,26.4666666666667,10,2,2,40,8e+05
"489",0.1,0.01,1,145.466666666667,0,10,2,2,40,8e+05
"490",0.2,0.01,2,109.7,6.16666666666667,10,2,2,40,8e+05
"491",0.4,0.01,2,54.9,21.8666666666667,10,2,2,40,8e+05
"492",0.6,0.01,2,40.5666666666667,26.4666666666667,10,2,2,40,8e+05
"493",0.1,0.01,1,139.233333333333,0,10,2,2,40,8e+05
"494",0.2,0.01,1,148.466666666667,0,10,2,2,40,8e+05
"495",0.4,0.01,2,52.2666666666667,25.0333333333333,10,2,2,40,8e+05
"496",0.6,0.01,2,39.3,27.1333333333333,10,2,2,40,8e+05
"497",0.1,0.01,1,136.366666666667,0,10,2,2,40,8e+05
"498",0.2,0.01,1,133.633333333333,0,10,2,2,40,8e+05
"499",0.4,0.01,2,53.3333333333333,24.6,10,2,2,40,8e+05
"500",0.6,0.01,2,41.2666666666667,23.8666666666667,10,2,2,40,8e+05
"501",0.1,0.01,1,142.766666666667,0,10,2,2,40,8e+05
"502",0.2,0.01,1,142.933333333333,0,10,2,2,40,8e+05
"503",0.4,0.01,2,52.3666666666667,23.2333333333333,10,2,2,40,8e+05
"504",0.6,0.01,2,38.7,28.3,10,2,2,40,8e+05
"505",0.1,0.01,1,136.6,0,10,2,2,40,8e+05
"506",0.2,0.01,2,127.3,3.93333333333333,10,2,2,40,8e+05
"507",0.4,0.01,2,48.8333333333333,24.6,10,2,2,40,8e+05
"508",0.6,0.01,2,40.1333333333333,26.0333333333333,10,2,2,40,8e+05
"509",0.1,0.01,1,144.033333333333,0,10,2,2,40,8e+05
"510",0.2,0.01,2,133.133333333333,1.46666666666667,10,2,2,40,8e+05
"511",0.4,0.01,2,49.8666666666667,23.5666666666667,10,2,2,40,8e+05
"512",0.6,0.01,2,39.6666666666667,26.5666666666667,10,2,2,40,8e+05
"513",0.1,0.01,1,136.966666666667,0,10,2,2,40,8e+05
"514",0.2,0.01,1,142.133333333333,0,10,2,2,40,8e+05
"515",0.4,0.01,2,54.4666666666667,24.3333333333333,10,2,2,40,8e+05
"516",0.6,0.01,2,40.9,26.2666666666667,10,2,2,40,8e+05
"517",0.1,0.01,1,136.633333333333,0,10,2,2,40,8e+05
"518",0.2,0.01,1,134.433333333333,0,10,2,2,40,8e+05
"519",0.4,0.01,2,53.0666666666667,22.4666666666667,10,2,2,40,8e+05
"520",0.6,0.01,2,40.2666666666667,30.1333333333333,10,2,2,40,8e+05
"521",0.1,0.01,1,146.766666666667,0,10,2,2,40,8e+05
"522",0.2,0.01,1,149.2,0,10,2,2,40,8e+05
"523",0.4,0.01,2,53,20.8333333333333,10,2,2,40,8e+05
"524",0.6,0.01,2,40.1666666666667,28.2,10,2,2,40,8e+05
"525",0.1,0.01,1,141.066666666667,0,10,2,2,40,8e+05
"526",0.2,0.01,1,140.5,0,10,2,2,40,8e+05
"527",0.4,0.01,2,58.7333333333333,19.7,10,2,2,40,8e+05
"528",0.6,0.01,2,38.8333333333333,27.1333333333333,10,2,2,40,8e+05
"529",0.1,0.01,1,132.633333333333,0,10,2,2,40,8e+05
"530",0.2,0.01,1,142.6,0,10,2,2,40,8e+05
"531",0.4,0.01,2,49.5333333333333,25.1666666666667,10,2,2,40,8e+05
"532",0.6,0.01,2,40.9333333333333,27.3666666666667,10,2,2,40,8e+05
"533",0.1,0.01,1,140.5,0,10,2,2,40,8e+05
"534",0.2,0.01,1,142.866666666667,0,10,2,2,40,8e+05
"535",0.4,0.01,2,51.6666666666667,22.2333333333333,10,2,2,40,8e+05
"536",0.6,0.01,2,38.8666666666667,30.1333333333333,10,2,2,40,8e+05
"537",0.1,0.01,1,145.766666666667,0,10,2,2,40,8e+05
"538",0.2,0.01,1,138.5,0,10,2,2,40,8e+05
"539",0.4,0.01,2,52.1666666666667,25.2666666666667,10,2,2,40,8e+05
"540",0.6,0.01,2,41.7333333333333,24.8,10,2,2,40,8e+05
"541",0.1,0.01,1,144.5,0,10,2,2,40,8e+05
"542",0.2,0.01,1,144.6,0,10,2,2,40,8e+05
"543",0.4,0.01,2,52.1666666666667,22.5,10,2,2,40,8e+05
"544",0.6,0.01,2,39.6333333333333,27.7,10,2,2,40,8e+05
"545",0.1,0.01,1,142.466666666667,0,10,2,2,40,8e+05
"546",0.2,0.01,1,142.6,0,10,2,2,40,8e+05
"547",0.4,0.01,2,52.0666666666667,23.4,10,2,2,40,8e+05
"548",0.6,0.01,2,40.2666666666667,26.9333333333333,10,2,2,40,8e+05
