namemodel,REM,NW5,NW6,NW7,SW6,SW9,SW8,SW7,SW5,SW4,NW1,NW2,NW3,NW4,SW1,SW2,SW3,NE3,SE3,SE4,NE1,NE2,SE2,gas,SE1
iter61,1.5993183065,1.7112784883,2.1135373463,1.6509812406,3.1279024585,3.8532832308,7.409361255,10.6480521708,3.6969513002,12.6220698312,1.5172619638,1.5027812353,1.6989994309,1.8222727979,1.6903522585,1.8620320862,8.2253614179,1.2256748163,1.2784710358,6.0663429599,1.6252394225,1.4966079654,1.478166814,1.4075416372,3.6020987601
iter62,-0.4103124044,-0.5221442441,-0.7292671455,0.5875770465,0.662611098,3.6327098859,0.1091149747,2.1262584217,3.9718879806,-1.5019060964,0.4515462072,0.4976464816,0.4517090972,1.2572543449,1.3400356182,1.4626383973,0.28781728,0.5331546356,0.9288244852,0.80219359,0.2024758348,0.0910651279,0.243180873,0.0032879512,0.5752354828
iter63,-0.1011384489,-0.1358224742,-0.3502265466,-0.6675885596,-1.3469121119,1.5372631092,3.6395619464,8.3485205242,0.6497364255,2.7131024265,0.8120088896,0.8854543787,0.8593203174,1.1878661138,1.3290882232,1.7954664714,2.933665326,1.0594699729,1.1891995761,1.3975438164,0.2485365265,0.1782703405,0.2274818992,0.0135007053,0.5933604126
iter64,0.3864050964,0.455732736,1.0522236694,0.0820242329,-1.3054786436,-0.0067503052,-2.2245703116,-8.5598004065,-1.5039342378,-3.6463841168,-0.5201358062,-0.4837449315,-0.7303634412,0.5336342208,0.5846653624,-1.4496072513,-3.0194927774,-0.415598012,-0.1201151663,-2.6445708784,0.3713650377,0.3116430185,0.2798118119,0.1717983936,-0.6572597439
iter65,1.1474486792,1.2766664971,1.2164745956,-0.2492000243,0.7869115027,-1.7345748403,-2.7032749857,-0.5790729272,1.9327742675,-4.6816493681,0.0283943627,0.1177530313,0.0440978771,1.2572543449,1.132035113,0.796982249,-3.6809547889,-0.2147671596,-0.1275544546,-2.4565655438,0.2485365265,0.0859354095,0.2222489079,-0.0018184258,-2.1435039878
iter66,0.2080355066,0.5160955126,0.382585278,-0.8244842604,-1.5333627189,-1.0360925814,-0.0105611938,2.3967915566,0.7184705956,1.3820471035,-0.3242321745,-0.3808571221,-0.1923166306,0.7021484963,0.4423492273,0.1978917156,-1.7474504476,-0.8657361295,-0.6706225011,-0.5138437525,-0.5703202146,-0.7296898137,-0.9447081465,-0.7677749818,-0.8022591823
iter67,-1.5162038607,-1.451731003,-1.702138016,-1.4172013522,-1.9062639331,-2.9844904615,2.5026383453,7.8074542545,-1.2977317275,2.047574765,-0.5749888231,-0.5945471878,-0.583623402,-0.8243925873,-0.5429163237,-0.7839511031,-0.2718813451,-0.955763753,-1.2136905477,-1.8612153174,-0.5600845053,-0.6630034747,-0.688291574,-0.7320303425,-0.9653835505
iter68,1.3139269629,1.2525213865,1.7092273742,1.9124740752,1.9263318794,-0.3743725467,-1.2671609633,-0.4438063597,1.0850528362,0.0509917805,1.3840474942,1.4790378947,1.6582383089,1.1184778827,1.3509830132,2.0783703344,1.2545694507,1.6619625302,1.1594424228,1.4288780388,1.4307609465,1.3068083852,1.2060512677,1.2747758342,0.3396113954
iter69,0.4815355442,0.4798778466,0.963780863,0.1168899442,0.1861262132,2.8974654029,5.8535710642,10.3775190359,0.5580908653,4.9315279649,0.0519027985,0.1256674782,0.1093156723,0.1569552521,0.4532966223,-0.2514261845,1.610741303,0.3115481778,-0.0234044183,1.2408727042,0.1461794339,-0.0063995214,-0.1283615076,0.0390325905,0.5933604126
iter70,0.0772311408,0.1539188533,-0.2365143669,2.1913997654,2.7550012443,5.9487300075,7.170008918,9.8364527662,1.1537870063,4.6357378931,0.357512464,0.4264164597,0.8756247662,0.1073922299,0.8474028427,2.3446327937,4.6127612013,1.668887732,1.1668817111,2.2122335998,0.4890756942,0.3475510472,0.3269087334,0.35052159,-1.1285079188
