"model","percentageerror","wait"
"SE3",0.6077448018,"0"
"SE3",-1.1903807777,"0"
"SE3",1.6377390658,"0"
"SE3",0.1014764348,"0"
"SE3",0.241136674,"0"
"SE3",2.2312950823,"0"
"SE3",-0.2127591034,"0"
"SE3",0.4331695029,"0"
"SE3",-0.614282291,"0"
"SE3",0.6950324513,"0"
"SE3",1.3235035277,"0"
"SE3",-2.0632572725,"0"
"SE3",2.0567197834,"0"
"SE3",0.241136674,"0"
"SE3",-0.0032687446,"0"
"SE3",-2.5171530499,"0"
"SE3",-1.7141066746,"0"
"SE3",0.0141887853,"0"
"SE3",1.0616405792,"0"
"SE3",0.415711973,"0"
"SE3",-2.5869831695,"0"
"SE3",0.9918104596,"0"
"SE3",-0.0556413343,"0"
"SE3",-0.3175042828,"0"
"SE3",-1.3125834869,"0"
"SE3",-0.3873344023,"0"
"SE3",0.7124899812,"0"
"SE3",-1.1554657179,"0"
"SE3",1.3409610576,"0"
"SE3",-0.5444521714,"0"
"SE3",0.6950324513,"0"
"SE3",-0.1254714539,"0"
"SE3",-0.5793672312,"0"
"SE3",0.7997776307,"0"
"SE3",-1.1729232478,"0"
"SE3",1.9170595442,"0"
"SE3",0.3982544431,"0"
"SE3",-0.7190274704,"0"
"SE3",0.0840189049,"0"
"SE3",2.9645113381,"0"
"SE3",2.1963800226,"0"
"SE3",2.9994263979,"0"
"SE3",-0.5269946415,"0"
"SE3",0.5379146822,"0"
"SE3",-0.9459753591,"0"
"SE3",-1.2252958374,"0"
"SE3",0.1538490245,"0"
"SE3",-2.2203750416,"0"
"SE3",1.3060459978,"0"
"SE3",0.1014764348,"0"
"SE3",1.3060459978,"0"
"SE3",0.5204571523,"0"
"SE3",0.2236791441,"0"
"SE3",-0.8237726498,"0"
"SE3",-1.3300410168,"0"
"SE3",1.4980788266,"0"
"SE3",1.4806212967,"0"
"SE3",0.4855420926,"0"
"SE3",1.271130938,"0"
"SE3",-0.5269946415,"0"
"SE3",-0.4222494621,"0"
"SE3",1.9345170741,"0"
"SE3",-0.1603865137,"0"
"SE3",0.5204571523,"0"
"SE3",-2.3600352808,"0"
"SE3",1.1838432885,"0"
"SE3",0.2585942039,"0"
"SE3",0.572829742,"0"
"SE3",-2.6568132891,"0"
"SE3",0.7124899812,"0"
"SE3",-1.8712244437,"0"
"SE3",-0.5793672312,"0"
"SE3",1.4806212967,"0"
"SE3",1.3235035277,"0"
"SE3",0.7823201008,"0"
"SE3",2.0916348432,"0"
"SE3",0.7124899812,"0"
"SE3",-1.1903807777,"0"
"SE3",-0.1254714539,"0"
"SE3",-1.2776684271,"0"
"SE3",1.3409610576,"0"
"NW1",-0.2590354458,"0.5"
"NW1",-1.1233100281,"0.5"
"NW1",0.0167968677,"0.5"
"NW1",0.2558515393,"0.5"
"NW1",-2.9805809388,"0.5"
"NW1",1.4879025396,"0.5"
"NW1",1.2488478679,"0.5"
"NW1",2.0395671665,"0.5"
"NW1",-0.8107000728,"0.5"
"NW1",-0.2958130876,"0.5"
"NW1",0.3845732856,"0.5"
"NW1",-1.2336429534,"0.5"
"NW1",0.6052391364,"0.5"
"NW1",0.0719633304,"0.5"
"NW1",-1.2152541325,"0.5"
"NW1",-0.8107000728,"0.5"
"NW1",2.0947336292,"0.5"
"NW1",1.9844007038,"0.5"
"NW1",-1.2704205952,"0.5"
"NW1",1.6901795694,"0.5"
"NW1",-1.5830305505,"0.5"
"NW1",0.2926291811,"0.5"
"NW1",-0.5532565802,"0.5"
"NW1",0.1271297931,"0.5"
"NW1",3.8048939728,"0.5"
"NW1",1.6901795694,"0.5"
"NW1",2.0211783456,"0.5"
"NW1",-2.0611398939,"0.5"
"NW1",0.0719633304,"0.5"
"NW1",2.2234553755,"0.5"
"NW1",-2.6495821626,"0.5"
"NW1",0.67879442,"0.5"
"NW1",0.4397397483,"0.5"
"NW1",2.6280094353,"0.5"
"NW1",-1.8036964013,"0.5"
"NW1",-0.4245348339,"0.5"
"NW1",1.9108454202,"0.5"
"NW1",0.8075161663,"0.5"
"NW1",0.1639074348,"0.5"
"NW1",-1.6565858341,"0.5"
"NW1",1.3959584351,"0.5"
"NW1",-1.1968653116,"0.5"
"NW1",-0.7187559683,"0.5"
"NW1",-1.2704205952,"0.5"
"NW1",-0.6452006847,"0.5"
"NW1",0.7339608827,"0.5"
"NW1",-0.222257804,"0.5"
"NW1",0.7339608827,"0.5"
"NW1",-0.9026441773,"0.5"
"NW1",2.4257324054,"0.5"
"NW1",-0.2038689831,"0.5"
"NW1",0.0903521513,"0.5"
"NW1",-0.0751472368,"0.5"
"NW1",1.230459047,"0.5"
"NW1",1.5246801813,"0.5"
"NW1",0.8994602708,"0.5"
"NW1",-0.3325907294,"0.5"
"NW1",1.3591807933,"0.5"
"NW1",0.8994602708,"0.5"
"NW1",1.3224031515,"0.5"
"NW1",1.1201261216,"0.5"
"NW1",0.5868503155,"0.5"
