"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
10,0.01,137.009090909091,0,1,10,100,8.4,2,5e+05,"150327_423.RData"
2,0.01,142.972727272727,0,1,10,100,8.6,2,5e+05,"150327_424.RData"
5,0.01,143.454545454545,0,1,10,100,8.8,2,5e+05,"150327_425.RData"
2,0.01,147.363636363636,0,1,10,100,8.2,2,5e+05,"150327_427.RData"
10,0.001,59.5090909090909,21.9636363636364,2,10,100,8.6,2,5e+05,"150327_42.RData"
5,0.01,7.54545454545454,34.5090909090909,2,10,100,8.8,2,5e+05,"150327_431.RData"
10,0.01,4.10909090909091,35.5727272727273,2,10,100,8.6,2,5e+05,"150327_432.RData"
2,0.01,145.218181818182,0,1,10,100,8.8,2,5e+05,"150327_433.RData"
5,0.01,144.836363636364,0,1,10,100,8.6,2,5e+05,"150327_434.RData"
2,0.01,144.945454545455,0,1,10,100,8.6,2,5e+05,"150327_436.RData"
5,0.01,7.65454545454545,35.7454545454545,2,10,100,9,2,5e+05,"150327_437.RData"
2,0.01,139.772727272727,0,1,10,100,9,2,5e+05,"150327_439.RData"
2,0.001,140.372727272727,0,1,10,100,9,2,5e+05,"150327_43.RData"
10,0.01,141.209090909091,0,1,10,100,8.8,2,5e+05,"150327_441.RData"
2,0.01,16.0272727272727,32.6272727272727,2,10,100,8.6,2,5e+05,"150327_442.RData"
5,0.01,139.154545454545,0,1,10,100,9,2,5e+05,"150327_443.RData"
2,0.01,141.090909090909,0,1,10,100,9,2,5e+05,"150327_445.RData"
5,0.01,7.21818181818182,33.8181818181818,2,10,100,8.6,2,5e+05,"150327_446.RData"
10,0.01,147.7,0,1,10,100,9,2,5e+05,"150327_447.RData"
2,0.01,141.363636363636,0,1,10,100,9,2,5e+05,"150327_448.RData"
5,0.01,140.181818181818,0,1,10,100,9,2,5e+05,"150327_449.RData"
2,0.01,142.972727272727,0,1,10,100,8.8,2,5e+05,"150327_451.RData"
5,0.01,149.509090909091,0,1,10,100,8.6,2,5e+05,"150327_452.RData"
2,0.01,140.6,0,1,10,100,8.6,2,5e+05,"150327_454.RData"
10,0.01,148.118181818182,0,1,10,100,9,2,5e+05,"150327_456.RData"
2,0.01,140.290909090909,0,1,10,100,8.6,2,5e+05,"150327_457.RData"
10,0.01,140.136363636364,0,1,10,100,9,2,5e+05,"150327_459.RData"
2,0.01,139.727272727273,0,1,10,100,8.6,2,5e+05,"150327_460.RData"
10,0.01,4,36.8272727272727,2,10,100,9,2,5e+05,"150327_462.RData"
2,0.01,141.754545454545,0,1,10,100,9,2,5e+05,"150327_463.RData"
5,0.01,7.38181818181818,36.1909090909091,2,10,100,9,2,5e+05,"150327_464.RData"
2,0.01,140.472727272727,0,1,10,100,9,2,5e+05,"150327_466.RData"
5,0.01,141.909090909091,0,1,10,100,9,2,5e+05,"150327_467.RData"
10,0.01,3.82727272727273,36.8363636363636,2,10,100,8,2,5e+05,"150327_468.RData"
2,0.01,143.236363636364,0,1,10,100,9,2,5e+05,"150327_469.RData"
2,0.001,137.272727272727,0,1,10,100,9,2,5e+05,"150327_46.RData"
5,0.01,138.745454545455,0,1,10,100,9,2,5e+05,"150327_470.RData"
10,0.01,140.754545454545,0,1,10,100,8.6,2,5e+05,"150327_471.RData"
2,0.01,16.1818181818182,32.6,2,10,100,9,2,5e+05,"150327_472.RData"
5,0.01,7.7,35.6636363636364,2,10,100,9,2,5e+05,"150327_473.RData"
2,0.01,142.809090909091,0,1,10,100,8.6,2,5e+05,"150327_475.RData"
5,0.01,140.863636363636,0,1,10,100,9,2,5e+05,"150327_476.RData"
10,0.01,3.7,36.0909090909091,2,10,100,8.8,2,5e+05,"150327_477.RData"
2,0.01,147.890909090909,0,1,10,100,8.8,2,5e+05,"150327_478.RData"
5,0.01,145.290909090909,0,1,10,100,9,2,5e+05,"150327_479.RData"
10,0.01,3.81818181818182,36.2272727272727,2,10,100,8.4,2,5e+05,"150327_480.RData"
2,0.01,16.2272727272727,34.0727272727273,2,10,100,8.8,2,5e+05,"150327_481.RData"
5,0.01,7.82727272727273,33.9454545454545,2,10,100,8.8,2,5e+05,"150327_482.RData"
10,0.01,139.609090909091,0,1,10,100,9,2,5e+05,"150327_483.RData"
2,0.01,139.790909090909,0,1,10,100,9,2,5e+05,"150327_487.RData"
5,0.01,7.23636363636364,34.9090909090909,2,10,100,9,2,5e+05,"150327_488.RData"
10,0.01,142.5,0,1,10,100,8.4,2,5e+05,"150327_489.RData"
10,0.001,73.2,17.2727272727273,2,10,100,9,2,5e+05,"150327_48.RData"
2,0.01,141.245454545455,0,1,10,100,9,2,5e+05,"150327_490.RData"
5,0.01,139.254545454545,0,1,10,100,9,2,5e+05,"150327_491.RData"
5,0.01,142.045454545455,0,1,10,100,8.8,2,5e+05,"150327_494.RData"
2,0.01,148.836363636364,0,1,10,100,9,2,5e+05,"150327_496.RData"
5,0.01,136.772727272727,0,1,10,100,8,2,5e+05,"150327_497.RData"
2,0.01,145.272727272727,0,1,10,100,9,2,5e+05,"150327_499.RData"
2,0.01,142.545454545455,0,1,10,100,9,2,5e+05,"150327_502.RData"
5,0.01,144.863636363636,0,1,10,100,9,2,5e+05,"150327_503.RData"
