"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
10,0.001,3.9,37.0727272727273,2,10,100,8.8,2,5e+05,"150527_258.RData"
2,0.001,30.9363636363636,28.9090909090909,2,10,100,9,2,5e+05,"150527_259.RData"
2,0.001,16.6454545454545,33.0181818181818,2,10,100,8,2,5e+05,"150527_25.RData"
5,0.001,20.1727272727273,32.1818181818182,2,10,100,8.4,2,5e+05,"150527_260.RData"
10,0.001,9.87272727272727,38.3727272727273,2,10,100,8,2,5e+05,"150527_261.RData"
2,0.001,17.3727272727273,32.3545454545455,2,10,100,9,2,5e+05,"150527_262.RData"
5,0.001,21.5909090909091,34.1727272727273,2,10,100,8.4,2,5e+05,"150527_263.RData"
10,0.001,3.83636363636364,36.1363636363636,2,10,100,9,2,5e+05,"150527_264.RData"
2,0.001,16.1454545454545,32.8727272727273,2,10,100,8.2,2,5e+05,"150527_265.RData"
5,0.001,7.26363636363636,36.4909090909091,2,10,100,8.6,2,5e+05,"150527_266.RData"
10,0.001,4.05454545454545,34.8818181818182,2,10,100,9,2,5e+05,"150527_267.RData"
2,0.001,16.5727272727273,33.4272727272727,2,10,100,9,2,5e+05,"150527_268.RData"
5,0.001,34.8727272727273,28,2,10,100,8.2,2,5e+05,"150527_269.RData"
5,0.001,7.29090909090909,37.2090909090909,2,10,100,8.2,2,5e+05,"150527_26.RData"
10,0.001,19.1909090909091,32.4454545454545,2,10,100,9,2,5e+05,"150527_270.RData"
2,0.001,18.2909090909091,31.1636363636364,2,10,100,9,2,5e+05,"150527_271.RData"
5,0.001,7.49090909090909,38.0909090909091,2,10,100,9,2,5e+05,"150527_272.RData"
10,0.001,4.13636363636364,34.7454545454545,2,10,100,8.8,2,5e+05,"150527_273.RData"
2,0.001,15.9,33.6636363636364,2,10,100,9,2,5e+05,"150527_274.RData"
5,0.001,21.5,30.9181818181818,2,10,100,9,2,5e+05,"150527_275.RData"
10,0.001,4.02727272727273,36.2,2,10,100,9,2,5e+05,"150527_276.RData"
2,0.001,17.0181818181818,30.9181818181818,2,10,100,8.8,2,5e+05,"150527_277.RData"
5,0.001,7.74545454545455,36.5272727272727,2,10,100,9,2,5e+05,"150527_278.RData"
10,0.001,4.23636363636364,34.4363636363636,2,10,100,9,2,5e+05,"150527_279.RData"
10,0.001,3.99090909090909,37.1454545454545,2,10,100,9,2,5e+05,"150527_27.RData"
2,0.001,17.0636363636364,33.8909090909091,2,10,100,8.8,2,5e+05,"150527_280.RData"
5,0.001,7.16363636363636,36.7090909090909,2,10,100,9,2,5e+05,"150527_281.RData"
10,0.001,4.4,34.7909090909091,2,10,100,9,2,5e+05,"150527_282.RData"
2,0.001,27.3272727272727,30.7909090909091,2,10,100,8.8,2,5e+05,"150527_283.RData"
5,0.001,7.02727272727273,37.2272727272727,2,10,100,8.4,2,5e+05,"150527_284.RData"
10,0.001,3.74545454545455,37.2,2,10,100,8.6,2,5e+05,"150527_285.RData"
2,0.001,16.5727272727273,33.8909090909091,2,10,100,8.8,2,5e+05,"150527_286.RData"
5,0.001,22.4818181818182,32.2909090909091,2,10,100,8.8,2,5e+05,"150527_287.RData"
10,0.001,4.18181818181818,34.5909090909091,2,10,100,8.8,2,5e+05,"150527_288.RData"
2,0.001,17.2363636363636,30.0363636363636,2,10,100,9,2,5e+05,"150527_289.RData"
2,0.001,16.5,32.9363636363636,2,10,100,8.4,2,5e+05,"150527_28.RData"
5,0.001,19.8090909090909,35.5181818181818,2,10,100,8.6,2,5e+05,"150527_290.RData"
10,0.001,3.77272727272727,36.0454545454545,2,10,100,8.6,2,5e+05,"150527_291.RData"
